"State","County","fips","ifr_OR"
"Colorado","Archuleta","08007",1.08791819919361
"Colorado","Baca","08009",1.35149179373344
"Colorado","Bent","08011",1.28007845384107
"Colorado","Boulder","08013",0.701700292214128
"Colorado","Broomfield","08014",0.891030708205568
"Colorado","Chaffee","08015",1.14383666295462
"Colorado","Cheyenne","08017",1.15969739035009
"Colorado","Clear Creek","08019",0.993711944026939
"Colorado","Conejos","08021",1.30877886642827
"Colorado","Costilla","08023",1.50644407382917
"Colorado","Crowley","08025",1.34254221223139
"Colorado","Custer","08027",1.14387145525348
"Colorado","Delta","08029",1.20244304140774
"Colorado","Denver","08031",0.92950371247135
"Colorado","Dolores","08033",1.2699881992193
"Colorado","Douglas","08035",0.841493304752564
"Colorado","Eagle","08037",0.882452907275226
"Colorado","Elbert","08039",0.99325216396932
"Colorado","El Paso","08041",1.00970638997425
"Colorado","Fremont","08043",1.35963983548577
"Colorado","Garfield","08045",1.0310144242722
"Colorado","Gilpin","08047",0.993421649504026
"Colorado","Grand","08049",0.949870689677021
"Colorado","Gunnison","08051",0.853922836281563
"Colorado","Hinsdale","08053",1.11677396866317
"Colorado","Huerfano","08055",1.33257564326927
"Colorado","Jackson","08057",1.24750551908966
"Colorado","Jefferson","08059",0.951498798630468
"Colorado","Kiowa","08061",1.19307125912003
"Colorado","Kit Carson","08063",1.29813042511275
"Colorado","Lake","08065",1.13034432667693
"Colorado","La Plata","08067",1.03722010040222
"Colorado","Larimer","08069",0.785681535422666
"Colorado","Las Animas","08071",1.31818321188643
"Colorado","Lincoln","08073",1.2214559412729
"Colorado","Logan","08075",1.22440749469532
"Colorado","Mesa","08077",1.1149819879968
"Colorado","Mineral","08079",1.09945636930039
"Colorado","Moffat","08081",1.12360377875812
"Colorado","Montezuma","08083",1.1778381369024
"Colorado","Montrose","08085",1.23322129362735
"Colorado","Morgan","08087",1.25211909308293
"Colorado","Otero","08089",1.36618376862876
"Colorado","Ouray","08091",1.04638413218195
"Colorado","Park","08093",1.05891008605434
"Colorado","Phillips","08095",1.13781432445823
"Colorado","Pitkin","08097",0.871606763691948
"Colorado","Prowers","08099",1.25612583530745
"Colorado","Pueblo","08101",1.42580063351443
"Colorado","Rio Blanco","08103",1.06380620400039
"Colorado","Rio Grande","08105",1.18742008439635
"Colorado","Routt","08107",0.856643794894845
"Colorado","Saguache","08109",1.39577278332885
"Colorado","San Juan","08111",1.10556011593729
"Colorado","San Miguel","08113",0.95534089855951
"Colorado","Sedgwick","08115",1.20442154397095
"Colorado","Summit","08117",0.865568990672163
"Colorado","Teller","08119",1.03437851072338
"Colorado","Washington","08121",1.17128002464886
"Colorado","Weld","08123",1.14766565840668
"Colorado","Yuma","08125",1.14314287939228
"Connecticut","Fairfield","09001",0.877607817248173
"Connecticut","Hartford","09003",1.03448085734179
"Connecticut","Litchfield","09005",0.918139984773748
"Connecticut","Middlesex","09007",0.930774449257149
"Connecticut","New Haven","09009",1.0934476549458
"Connecticut","New London","09011",1.07667306871901
"Connecticut","Tolland","09013",0.927266914364073
"Connecticut","Windham","09015",1.16259532341731
"Delaware","Kent","10001",1.15691093256269
"Delaware","New Castle","10003",0.933968027931432
"Delaware","Sussex","10005",1.03953610987154
"District of Columbia","District of Columbia","11001",1
"Florida","Alachua","12001",0.852341997115583
"Florida","Baker","12003",1.14389676647908
"Florida","Bay","12005",1.08076231417506
"Florida","Bradford","12007",1.25113734191526
"Florida","Brevard","12009",1.05744179022417
"Florida","Broward","12011",0.953165359902566
"Florida","Calhoun","12013",1.20048694084706
"Florida","Charlotte","12015",1.09092152067445
"Florida","Citrus","12017",1.09675570866107
"Florida","Clay","12019",1.0047712494889
"Florida","Collier","12021",0.921830057297666
"Florida","Columbia","12023",1.15476895535764
"Florida","DeSoto","12027",1.13063496994447
"Florida","Dixie","12029",1.17468465108227
"Florida","Duval","12031",1.09466848615506
"Florida","Escambia","12033",1.06101004665273
"Florida","Flagler","12035",1.05244031378
"Florida","Franklin","12037",1.1157616980844
"Florida","Gadsden","12039",1.24767072076379
"Florida","Gilchrist","12041",1.1893199016476
"Florida","Glades","12043",1.26829214308204
"Florida","Gulf","12045",1.06288770416439
"Florida","Hamilton","12047",1.12434707287026
"Florida","Hardee","12049",1.20161826358243
"Florida","Hendry","12051",1.17497043170296
"Florida","Hernando","12053",1.12402425108481
"Florida","Highlands","12055",1.1829136466631
"Florida","Hillsborough","12057",0.997021654430437
"Florida","Holmes","12059",1.27477533145998
"Florida","Indian River","12061",0.970772499530792
"Florida","Jackson","12063",1.21698875142689
"Florida","Jefferson","12065",1.14389445952244
"Florida","Lafayette","12067",1.14797820562096
"Florida","Lake","12069",1.07541072420748
"Florida","Lee","12071",0.876027437061057
"Florida","Leon","12073",0.904439147161402
"Florida","Levy","12075",1.23780173712467
"Florida","Liberty","12077",1.20162751041152
"Florida","Madison","12079",1.21055138737759
"Florida","Manatee","12081",1.05792385666726
"Florida","Marion","12083",1.20937436871202
"Florida","Martin","12085",0.922827899986269
"Florida","Miami-Dade","12086",0.890173395115359
"Florida","Monroe","12087",0.913895603472943
"Florida","Nassau","12089",1.04653093454555
"Florida","Okaloosa","12091",0.943606265898294
"Florida","Okeechobee","12093",1.21636484461505
"Florida","Orange","12095",0.944235914171963
"Florida","Osceola","12097",1.1033340373304
"Florida","Palm Beach","12099",0.959183950395783
"Florida","Pasco","12101",1.14057268576314
"Florida","Pinellas","12103",0.998216910039487
"Florida","Polk","12105",1.09495431074281
"Florida","Putnam","12107",1.30763359653072
"Florida","St. Johns","12109",0.901421722946831
"Florida","St. Lucie","12111",1.09832550976581
"Florida","Santa Rosa","12113",1.11074445425544
"Florida","Sarasota","12115",0.97535448634157
"Florida","Seminole","12117",0.905995691773292
"Florida","Sumter","12119",1.15857804750196
"Florida","Suwannee","12121",1.23624101965484
"Florida","Taylor","12123",1.24296393633186
"Florida","Union","12125",1.20045306297046
"Florida","Volusia","12127",1.10868851131557
"Florida","Wakulla","12129",1.03534486879425
"Florida","Walton","12131",1.03808319428744
"Florida","Washington","12133",1.23697494703896
"Georgia","Appling","13001",1.19953261754706
"Georgia","Atkinson","13003",1.19642489699201
"Georgia","Bacon","13005",1.18676202930488
"Georgia","Baker","13007",1.20250800568713
"Georgia","Baldwin","13009",1.16040065292234
"Georgia","Banks","13011",1.05652183103918
"Georgia","Barrow","13013",1.04188629992911
"Georgia","Bartow","13015",1.0249748939345
"Georgia","Ben Hill","13017",1.33538906818445
"Georgia","Berrien","13019",1.19292262151617
"Georgia","Bibb","13021",1.18921169518305
"Georgia","Bleckley","13023",1.10041920660801
"Georgia","Brantley","13025",1.17845895087777
"Georgia","Brooks","13027",1.19542834639451
"Georgia","Bryan","13029",0.973579190840884
"Georgia","Bulloch","13031",1.08812912666159
"Georgia","Burke","13033",1.24063985834083
"Georgia","Butts","13035",1.17729605512404
"Georgia","Calhoun","13037",1.30336140551416
"Georgia","Camden","13039",0.998778998866194
"Georgia","Candler","13043",1.29495345217733
"Georgia","Carroll","13045",1.04701032993796
"Georgia","Catoosa","13047",1.02182680586601
"Georgia","Charlton","13049",1.21940202816904
"Georgia","Chatham","13051",0.928128783976915
"Georgia","Chattahoochee","13053",0.845087829484721
"Georgia","Chattooga","13055",1.26941240819727
"Georgia","Cherokee","13057",0.887848751354447
"Georgia","Clarke","13059",0.86108140901119
"Georgia","Clay","13061",1.40048424642225
"Georgia","Clayton","13063",1.14840518100029
"Georgia","Clinch","13065",1.28569508235564
"Georgia","Cobb","13067",0.839831145608668
"Georgia","Coffee","13069",1.1227533935471
"Georgia","Colquitt","13071",1.17636524004123
"Georgia","Columbia","13073",0.905308889525858
"Georgia","Cook","13075",1.14786977406395
